Date,Open,High,Low,Close,Adj Close,Volume,PriceChange,VolumeChange
6/19/80,116.260002,116.809998,114.360001,114.660004,114.660004,38280000,-1.376223957,-8.770257388
6/20/80,114.660004,114.900002,113.120003,114.059998,114.059998,36530000,-0.523291452,-4.571577847
6/23/80,114.059998,115.279999,113.349998,114.510002,114.510002,34180000,0.394532709,-6.433068711
6/24/80,114.510002,115.75,113.760002,115.139999,115.139999,37730000,0.550167661,10.38619075
6/25/80,115.139999,117.370003,115.07,116.720001,116.720001,46500000,1.372244236,23.24410284
6/26/80,116.720001,117.980003,115.580002,116.190002,116.190002,45110000,-0.454077275,-2.989247312
6/27/80,116.190002,116.93,115.059998,116,116,33110000,-0.163526979,-26.60164043
6/30/80,116,116.040001,113.550003,114.239998,114.239998,29910000,-1.517243103,-9.664753851
7/1/80,114.239998,115.449997,113.540001,114.93,114.93,34340000,0.603993358,14.81109997
7/2/80,114.93,116.440002,114.360001,115.68,115.68,42950000,0.65257113,25.0728014
7/3/80,115.68,117.800003,115.489998,117.459999,117.459999,47230000,1.53872666,9.965075669
7/7/80,117.459999,118.849998,116.959999,118.290001,118.290001,42540000,0.70662524,-9.930129155
7/8/80,118.290001,119.110001,117.07,117.839996,117.839996,45830000,-0.380425223,7.733897508
7/9/80,117.839996,119.519997,117.099998,117.980003,117.980003,52010000,0.118811104,13.48461706
7/10/80,117.980003,118.57,116.379997,116.949997,116.949997,43730000,-0.87303439,-15.92001538
7/11/80,116.949997,118.379997,116.290001,117.839996,117.839996,38310000,0.761008143,-12.39423737
7/14/80,117.839996,120.370003,117.449997,120.010002,120.010002,45500000,1.841485127,18.76794571
7/15/80,120.010002,121.559998,118.849998,119.300003,119.300003,60920000,-0.591616522,33.89010989
7/16/80,119.300003,120.870003,118.540001,119.629997,119.629997,49140000,0.276608543,-19.33683519
7/17/80,119.629997,121.839996,119.43,121.440002,121.440002,48850000,1.513002629,-0.59015059
7/18/80,121.440002,123.190002,120.879997,122.040001,122.040001,58040000,0.494070315,18.81269191
7/21/80,122.040001,123.150002,120.849998,122.510002,122.510002,42750000,0.385120449,-26.34390076
7/22/80,122.510002,123.900002,121.379997,122.190002,122.190002,52230000,-0.261203163,22.1754386
7/23/80,122.190002,123.260002,120.93,121.93,121.93,45890000,-0.212785003,-12.13861765
7/24/80,121.93,122.980003,120.830002,121.790001,121.790001,42420000,-0.114819159,-7.561560253
7/25/80,121.790001,121.959999,119.940002,120.779999,120.779999,36250000,-0.829297965,-14.54502593
7/28/80,120.779999,122.019997,119.779999,121.43,121.43,35330000,0.538169403,-2.537931034
7/29/80,121.43,122.989998,120.760002,122.400002,122.400002,44840000,0.798815779,26.91763374
7/30/80,122.400002,123.93,121.160004,122.230003,122.230003,58060000,-0.13888807,29.48260482
7/31/80,122.230003,122.339996,119.400002,121.669998,121.669998,54610000,-0.458156742,-5.942128832
8/1/80,121.669998,122.379997,120.080002,121.209999,121.209999,46440000,-0.378071018,-14.96062992
